TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
4,2,3,2,3,4,9,0,3,3,1,1,3,5,2,7,7,1,2,7,6,1,5,6,4,2,8,1,3.579993844259771,neutral
2,1,2,2,3,3,2,3,4,5,5,5,5,5,5,3,3,3,3,6,4,3,6,7,5,5,8,1,2.656386580486303,pro-life
3,2,4,4,3,2,1,0,4,4,5,4,3,6,4,5,7,4,1,1,7,6,3,5,1,2,8,1,2.6341028008618035,pro-life
1,1,3,2,3,3,4,0,3,5,4,5,1,1,1,7,7,7,7,7,4,4,5,7,7,5,8,1,4.73961218836565,pro-choice
1,2,1,1,2,3,6,0,1,2,2,2,1,1,1,7,7,7,6,7,7,7,4,5,3,4,8,1,4.399322868574945,pro-choice
4,4,4,3,2,2,1,0,3,5,3,2,3,7,7,5,6,3,3,4,6,6,1,2,1,2,4,1,2.539181286549707,pro-life
2,2,3,2,4,3,10,0,5,5,5,4,5,4,2,7,6,5,6,5,6,6,6,6,6,6,8,1,3.8214219759926125,pro-choice
1,1,3,2,4,4,8,0,4,2,4,2,2,2,1,7,7,2,3,3,3,1,6,7,7,7,8,1,3.894059710680209,pro-choice
2,2,3,3,4,4,3,0,4,2,1,1,2,2,2,7,7,6,5,6,4,4,6,6,6,6,8,5,4.290981840566328,pro-choice
1,1,1,1,2,2,9,0,2,1,1,1,1,1,1,7,7,7,7,7,1,1,6,4,4,4,8,1,4.999999999999998,pro-choice
2,2,2,1,2,2,2,2,2,3,3,2,2,1,1,7,7,7,7,7,1,1,5,6,4,2,8,1,4.999999999999998,pro-choice
1,1,4,4,4,3,1,0,4,4,4,4,3,5,5,4,4,3,2,2,4,5,4,4,3,3,1,1,2.4461064943059396,pro-life
1,1,3,2,3,2,8,0,3,2,2,2,1,2,2,7,7,7,7,7,3,1,6,7,5,4,8,3,4.755493998153276,pro-choice
3,3,5,5,3,3,2,2,3,3,2,4,3,6,3,6,7,6,6,5,6,6,3,4,2,1,4,2,3.6783625730994145,pro-choice
2,4,2,3,3,4,2,2,2,5,4,3,4,1,1,7,7,7,7,7,7,7,4,3,4,5,8,1,4.479224376731301,pro-choice
0,0,0,0,0,0,9,0,1,2,1,1,1,4,4,1,6,3,4,4,4,4,4,4,4,4,8,1,2.822468451831332,pro-life
3,2,4,3,3,3,9,0,3,1,1,1,1,3,1,7,7,7,6,6,6,2,3,3,3,3,8,1,4.447953216374269,pro-choice
3,3,4,4,2,2,1,0,3,4,3,2,3,4,4,5,5,4,4,4,4,4,2,4,2,2,8,1,3.2111418898122492,neutral
4,4,4,4,4,4,3,0,2,1,3,1,2,2,2,7,7,7,4,6,4,4,4,4,4,4,8,1,4.283964296706678,pro-choice
